"Name","Description","Star","No. Of reviews","Website","Last review","Service focus","Price","Avarage	Est.","Location","Link","Email","Phone number"
"RebelDot","End 2 End Software Services","4.8","3 reviews","http://rebeldot.com/?utm_source=clutch&utm_medium=referral","""Everyone is professional and courteous and good at what they do."" ...""","15%  Web Development
30%  UX/UI Design
20%  Custom Software Development
15%  Blockchain
10%  Mobile App Development
5%  Cloud Consulting & SI
5%  IT Strategy Consulting
","$10,000+","$25 - $49 / hr","Cluj-Napoca, Romania","https://clutch.co/profile/rebeldot","getintouch@rebeldot.com","+40 (749) 993 993"
"Flatlogic","Advanced Javascript Engineering","4.7","5 reviews","https://flatlogic.com","“They’re very talented on the technical side.”","50%  Web Development
25%  Mobile App Development
25%  Artificial Intelligence
","$5,000+","$50 - $99 / hr","Minsk, Belarus","https://clutch.co/profile/flatlogic","contact@flatlogic.com","+375293246726"
"Afterlogic.Works","We do code. US Jurisdiction. Russian developers.","4.9","6 reviews","http://afterlogic.works","""They have a very strong, trusted team [that] is almost always giving us more than what we pay for.""","70%  Web Development
10%  Mobile App Development
10%  UX/UI Design
10%  Graphic Design
","$5,000+","$25 - $49 / hr","Taganrog, Russia","https://clutch.co/profile/afterlogicworks","works@afterlogic.com","415.513.0152"
"CroatiaTech.com","We take care of your business needs from A to Z","5.0","1 review","http://www.croatiatech.com/","“Their team’s extensive experience meant that they could guide us when we reached poin...","15%  Web Development
25%  Staff Augmentation
20%  Custom Software Development
10%  Pay Per Click
10%  Search Engine Optimization
10%  AR/VR Development
10%  Graphic Design
","$5,000+","$50 - $99 / hr","Split, Croatia","https://clutch.co/profile/croatiatechcom","hello@croatiatech.com","none"
"On The Spot Development","Bringing Ideas to Life","5.0","2 reviews","http://www.onthespotdev.com","""They’re able to take our requirements and come up with a simple, streamlined process to solve a challenge.""","25%  Web Development
25%  Mobile App Development
25%  Other Application Development
25%  Custom Software Development
","$5,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/spot-development","hello@onthespotdev.com","07717746712"
"iDeus","* THINK * DESIGN * CODE *","4.9","4 reviews","https://ideus.biz","""The team was quick to understand our concerns and problems.""","20%  Web Development
20%  Mobile App Development
15%  UX/UI Design
15%  Web Design
10%  E-Commerce Development
10%  Logo
10%  Custom Software Development
","$5,000+","< $25 / hr","Kharkiv, Ukraine","https://clutch.co/profile/ideus","welcome@ideus.biz","none"
"Codetribe","We are the link between the idea and the product","5.0","3 reviews","https://codetri.be/#/","""I was really impressed with Codetribe and their ability to take ownership and understand what our product was and wh...""","20%  Web Development
20%  Mobile App Development
20%  Custom Software Development
10%  Application Testing
10%  UX/UI Design
10%  Web Design
5%  Application Management & Support
5%  Logo
","$25,000+","$50 - $99 / hr","Novi Sad, Serbia","https://clutch.co/profile/codetribe","ivan@codetri.be","+381628515917"
"Artkai - Interfaces that make sense","UX-focused design & development agency","4.8","9 reviews","https://artk.ai?Clu","""Artkai is as good as it gets for a remote team.""","45%  Web Development
40%  UX/UI Design
5%  E-Commerce Development
5%  Enterprise App Modernization
5%  Logo
","$10,000+","$50 - $99 / hr","Kyiv, Ukraine","https://clutch.co/profile/artkai-interfaces-make-sense","hello@artkaidesign.com","none"
"Sigmapoint","Mobile Development","5.0","2 reviews","http://www.sigmapoint.pl","""They have very high quality work and are very professional.""","20%  Web Development
40%  Mobile App Development
20%  Custom Software Development
10%  UX/UI Design
5%  Wearable App Development
5%  Web Design
","$1,000+","$25 - $49 / hr","Kraków, Poland","https://clutch.co/profile/sigmapoint","kontakt@sigmapoint.pl","+48 730 450 956"
"The Knights of Unity","Professional Unity Development Studio","4.8","9 reviews","http://theknightsofunity.com/","""The size of their team means they can handle any Unity requirement you have.""","20%  Web Development
40%  Other Application Development
20%  Mobile App Development
20%  Wearable App Development
","$5,000+","$50 - $99 / hr","Wroclaw, Poland","https://clutch.co/profile/knights-unity","contact@theknightsofunity.com","+48 728 362 108"
"Optiweb","Web specialties","5.0","1 review","https://www.optiweb.com/","“We would especially like to emphasize their effort and commitment.”","50%  Web Development
50%  E-Commerce Development
","$10,000+","$50 - $99 / hr","Škofja Loka, Slovenia","https://clutch.co/profile/optiweb","info@optiweb.com","+386 40 624 724"
"iRonin.IT","Web, DevOps & Mobile - Development & Outsourcing","5.0","2 reviews","https://www.iRonin.IT","""We could keep giving them responsibilities, and they'd met our expectations.""","30%  Web Development
10%  Cloud Consulting & SI
10%  E-Commerce Development
10%  Mobile App Development
10%  Other Application Development
10%  Custom Software Development
10%  Staff Augmentation
5%  Enterprise App Modernization
5%  Other IT Consulting and SI
","$10,000+","$25 - $49 / hr","Warsaw, Poland","https://clutch.co/profile/ironinit","sales@iRonin.IT","+48 (22) 397 8866"
"ADV","We Deliver Integrated Omnichannel Solutions","4.8","6 reviews","http://www.advwe.com","“They’ve been adaptive to changing business needs, and the cost/value offer is quite reasonable.”","30%  Web Development
30%  E-Commerce Development
20%  Mobile App Development
20%  Productivity, Collaboration & UC Consulting and SI
","$25,000+","$25 - $49 / hr","Moscow, Russia","https://clutch.co/profile/adv","hello@advwe.com","+79031510595"
"Vordik Digital","Website Design, Software Development, e-Commerce","5.0","1 review","http://vordik.com/","""Their attitude is that they want to do the best for their clients.""","30%  Web Development
20%  Web Design
15%  Mobile App Development
15%  Custom Software Development
10%  Application Testing
10%  UX/UI Design
","$1,000+","$100 - $149 / hr","Krakow, Poland","https://clutch.co/profile/vordik-digital","hello@vordik.com","none"
"Oakfusion","Agile Software House","4.5","1 review","http://www.oakfusion.pl","""Oakfusion’s team and solution were excellent.""","60%  Web Development
20%  Mobile App Development
20%  Custom Software Development
","$10,000+","$25 - $49 / hr","Wrocław, Poland","https://clutch.co/profile/oakfusion","office@oakfusion.pl","none"
"Positive Power","Bespoke software and mobile ebusiness solutions","4.0","2 reviews","http://www.en.positive-power.pl","""We can highly recommend Positive Power as a business partner. We give them a five of five.""","5%  Web Development
30%  E-Commerce Development
30%  Mobile App Development
30%  Custom Software Development
5%  UX/UI Design
","Undisclosed","$50 - $99 / hr","Gliwice, Poland","https://clutch.co/profile/positive-power-sp-z-oo","hello@positive-power.pl","+48 32 230 9020"
"PLUSINFOSYS","Serving Simplicity","5.0","1 review","https://plusinfosys.com/","""They are doing very well in web development and mobile development.""","30%  Web Development
30%  Mobile App Development
20%  IT Strategy Consulting
20%  Custom Software Development
","$5,000+","< $25 / hr","Ukraine","https://clutch.co/profile/plusinfosys","info@plusinfosys.com","none"
"DayOne s.c.","Delivering your next product with React & Node","4.8","2 reviews","https://dayone.pl","“I would highly recommend them to other companies.”","30%  Web Development
40%  Custom Software Development
20%  Mobile App Development
10%  Other Application Development
","$5,000+","$50 - $99 / hr","Łódź, Poland","https://clutch.co/profile/dayone-sc","contact@dayone.pl","none"
"VORM","Design and Technology Consultancy","5.0","1 review","http://vorm.io","""They make beautiful things and have a great design team.""","40%  UX/UI Design
30%  Mobile App Development
30%  Custom Software Development
","$10,000+","$50 - $99 / hr","Cracow, Poland","https://clutch.co/profile/vorm","hi@vorm.io","+48 694 565 800"
"Eton Digital","We design and develop innovative digital solutions","4.9","4 reviews","https://www.etondigital.com/","""They are committed to building strong and healthy relationships with their clients.""","30%  Web Development
20%  Mobile App Development
20%  Web Design
10%  Branding
10%  Digital Strategy
10%  UX/UI Design
","$5,000+","$50 - $99 / hr","Novi Sad, Serbia","https://clutch.co/profile/eton-digital","hello@etondigital.com","+381 21 539 780"
"Red Rock Tech","Red Rock Tech","4.7","3 reviews","http://www.redrocktech.ro","“They were flexible and understanding anytime we proposed a new idea.”","45%  Web Development
25%  Mobile App Development
25%  Custom Software Development
5%  Application Testing
","$5,000+","$25 - $49 / hr","Romania","https://clutch.co/profile/red-rock-tech","balazs.orban@redrock.no","none"
"OSOM STUDIO","Wordpress experts ready to help you","4.8","6 reviews","http://www.osomstudio.com/en","""OSOM STUDIO understood our needs and provided exceptional customer service.""","40%  Web Development
30%  E-Commerce Development
30%  UX/UI Design
","$5,000+","$25 - $49 / hr","Łódź, Poland","https://clutch.co/profile/osom-studio","office@osomstudio.com","+48 791169208"
"Coma Web Development","WordPress Website Design and Development","5.0","1 review","https://www.coma.lv/en/","""They did most of the job on their own.""","50%  Web Development
40%  Web Design
10%  Custom Software Development
","$5,000+","$50 - $99 / hr","Riga, Latvia","https://clutch.co/profile/coma-web-development","vadim@coma.lv","+371 29394520"
"Open Tangerine Software House","Quality in every byte","4.8","3 reviews","http://opentangerine.com","""Open Tangerine is a software solutions company based in Poland that creates web, desktop, and mobile applications fr...""","30%  Web Development
35%  Custom Software Development
15%  Artificial Intelligence
10%  Mobile App Development
10%  HR Services
","$100,000+","$50 - $99 / hr","Poland","https://clutch.co/profile/open-tangerine-software-house","office@opentangerine.com","none"
"Blue Owl","Full-stack web & mobile development software house","5.0","1 review","http://www.blueowlagency.com","""...that Blue Owl consists of real professionals that remain dedicated throughout the entire project.""","10%  Web Development
30%  E-Commerce Development
30%  Custom Software Development
20%  UX/UI Design
10%  Mobile App Development
","$5,000+","$25 - $49 / hr","Poznań, Poland","https://clutch.co/profile/blue-owl","k.stola@blueowl.pl","+48690900344"
"SEVEN","The Company That Exceeds Your Expectations","4.3","2 reviews","https://sevencollab.com","""The product they developed is visually appealing and well-organized.""","27%  Web Development
35%  Custom Software Development
18%  Mobile App Development
10%  E-Commerce Development
5%  IoT Development
5%  Artificial Intelligence
","$5,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/seven","info@sevencollab.com","+38 067 670 0838"
"Starnavi","Information Technology and Services","5.0","2 reviews","https://www.starnavi.io/","""Their code was high-quality and easy to merge into the larger product.""","30%  Web Development
30%  Custom Software Development
15%  Application Management & Support
10%  Application Testing
5%  E-Commerce Development
5%  Enterprise App Modernization
5%  Blockchain
","Undisclosed","$25 - $49 / hr","Poltava, Ukraine","https://clutch.co/profile/starnavi","starnavi.team@gmail.com","none"
"WebsiteDesign","Website development, mobile applications, SEO","5.0","1 review","https://websitedesign.bg","""The high-quality design and functionality are exactly what we wanted.""","20%  Web Development
20%  Mobile App Development
20%  Web Design
20%  Custom Software Development
10%  Digital Strategy
10%  Search Engine Optimization
","$1,000+","$25 - $49 / hr","Sofia, Bulgaria","https://clutch.co/profile/websitedesign","office@websitedesign.bg","none"
"Devloop","Outsourced Web, Mobile & Software Development","5.0","1 review","http://devloop.pro","""The simple and functional solution realized our vision.""","25%  Web Development
25%  Mobile App Development
25%  Custom Software Development
14%  E-Commerce Development
10%  Application Management & Support
1%  AR/VR Development
","$1,000+","< $25 / hr","Khmel'nyts'kyy, Ukraine","https://clutch.co/profile/devloop","devloop.pro@gmail.com","+38 096 615 65 49"
"Roobykon Software","Online Marketplaces Development","4.8","6 reviews","https://roobykon.com","""We had a good experience in the way Roobykon supported the platform when various challenges arose.""","35%  Web Development
21%  E-Commerce Development
10%  UX/UI Design
8%  Web Design
5%  Other Application Development
5%  Custom Software Development
3%  Application Testing
3%  Other IT Consulting and SI
2%  Application Management & Support
2%  Digital Strategy
2%  IT Strategy Consulting
2%  Mobile App Development
2%  Business Consulting
","$5,000+","< $25 / hr","Kharkiv, Ukraine","https://clutch.co/profile/roobykon-software","contact@roobykon.com","+380956110055"
"Donatix","Ship it fast, make it last","5.0","8 reviews","http://donatix.net","""[T]hey communicate well and are often available outside of standard working hours.""","50%  Web Development
35%  Web Design
15%  Mobile App Development
","$10,000+","$25 - $49 / hr","Sofia, Bulgaria","https://clutch.co/profile/donatix","sales@donatix.net","none"
"Active Bridge","Because we love the way we do","4.7","9 reviews","https://activebridge.org","“They’re a professional team with high-quality code, competitive rates, and an efficient workflow.”","70%  Web Development
10%  E-Commerce Development
10%  Mobile App Development
10%  Custom Software Development
","$25,000+","$25 - $49 / hr","Cherkassy, Ukraine","https://clutch.co/profile/active-bridge","contact@active-bridge.com","+380636086045, +18888053503"
"Inwedo","Dedicated software to optimize business processes.","4.0","4 reviews","http://inwedo.com/","""They are a good business partner.""","50%  Web Development
20%  Mobile App Development
20%  Custom Software Development
10%  UX/UI Design
","Undisclosed","$25 - $49 / hr","Lodz, Poland","https://clutch.co/profile/inwedo","hello@inwedo.com","+48 42 634 00 96"
"JET BI","Salesforce - Mobile Development - SAP BI","4.8","13 reviews","https://jetbi.com","“They really took our project and made it their own.”","30%  Custom Software Development
25%  CRM Consulting and SI
25%  Mobile App Development
10%  BI & Big Data Consulting & SI
10%  Cloud Consulting & SI
","$5,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/jet-bi","sales@jetbi.com","+375 333 06 5555"
"Limestone Digital","Limestone Digital","4.8","5 reviews","http://limestonedigital.co/?utm_source=clutch&utm_medium=referral","“They’re a young, creative-minded team that works quickly.”","20%  Web Development
20%  Mobile App Development
20%  Custom Software Development
10%  Application Testing
10%  E-Commerce Development
10%  IoT Development
10%  IT Strategy Consulting
","$10,000+","$25 - $49 / hr","Prague, Czech Republic","https://clutch.co/profile/limestone-digital","mark.ajzenstadt@limestonedigital.co","+420703129016"
"YarMobile","A small team doing large mobile & web applications","4.6","5 reviews","https://yarmobile.com/en/","YarMobile, with 8 years of experience under their belts, offer mobile app dev for businesses and individuals.","25%  Web Development
60%  Mobile App Development
15%  Custom Software Development
","$1,000+","$25 - $49 / hr","Gdynia, Poland","https://clutch.co/profile/yarmobile","contact@yarmobile.com","+48 500 609 630"
"Big Drop","We are CREATIVE PROFESSIONALS who elevate BRANDS","4.6","34 reviews","http://bigdropinc.com/?utm_source=clutch","“It's a one-stop shop, and I appreciate their expertise.”","60%  Web Development
40%  Web Design
","$50,000+","$100 - $149 / hr","Ukraine","https://clutch.co/profile/big-drop","sayhello@bigdropinc.com","none"
"Sagiton","Business-oriented software house","4.8","6 reviews","https://www.sagiton.pl/","""I was impressed by their attention to detail.""","30%  Custom Software Development
20%  Cybersecurity
20%  Mobile App Development
10%  IT Strategy Consulting
10%  Marketing Strategy
10%  Web Design
","Undisclosed","$50 - $99 / hr","Wrocław, Poland","https://clutch.co/profile/sagiton","marketing@sagiton.pl","71 758 00 70"
"Vintage","We craft websites that multiply our clients' sales","5.0","1 review","http://vintage.agency","Vintage, a Kiev-based development shop with mobile and web capabilities...","40%  Web Development
40%  Web Design
15%  Marketing Strategy
5%  UX/UI Design
","Undisclosed","$50 - $99 / hr","Kiev, Ukraine","https://clutch.co/profile/vintage","yaroslaw@vintage.agency","none"
"Gera-IT","We build great online products [Ruby Experts]","4.9","10 reviews","http://gera-it.com","""The entire team at Gera-IT is very proud of their work and holds itself to high standards.""","30%  Web Development
30%  Mobile App Development
20%  E-Commerce Development
20%  UX/UI Design
","$5,000+","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/gera-it","sales@gera-it.com","+380 (66) 910 22 26"
"FreshCode","Web Development | BI | Hadoop","4.9","6 reviews","https://freshcodeit.com/services/software-development-clutch/?utm_source=clutch&utm_medium=referral","""FreshCode excels at estimating scopes for time, money, and ultimate expectations.""","70%  Web Development
20%  BI & Big Data Consulting & SI
10%  E-Commerce Development
","$10,000+","$25 - $49 / hr","Zaporizhzhya, Ukraine","https://clutch.co/profile/freshcode","alex@freshcodeit.com","+380 96 588 02 89"
"Thrive.io","Web & Mobile App Development Company","4.8","15 reviews","http://www.thrive.io","""With the added work of their developers, we’ve been able to drastically increase our delivery speed.""","50%  Web Development
20%  Mobile App Development
10%  UX/UI Design
10%  Web Design
10%  Staff Augmentation
","$5,000+","$25 - $49 / hr","Goryachy Klyuch City, Russia","https://clutch.co/profile/thriveio","info@thrive.io","none"
"Stermedia.ai","Machine Learning (AI) & Software Development","4.5","3 reviews","https://stermedia.ai","“They’re creative thinkers that do thorough research …”","15%  Web Development
30%  Artificial Intelligence
20%  Custom Software Development
15%  Mobile App Development
5%  Application Testing
5%  BI & Big Data Consulting & SI
5%  IT Managed Services
5%  Web Design
","$10,000+","$50 - $99 / hr","Wroclaw, Poland","https://clutch.co/profile/stermediaai","hello@stermedia.ai","0048694233234"
"Codica","We build great web products with Ruby on Rails","4.8","2 reviews","https://www.codica.com/","""Codica completes high-quality products at cost-effective prices.""","70%  Web Development
10%  Mobile App Development
10%  Custom Software Development
5%  UX/UI Design
5%  Web Design
","$10,000+","$25 - $49 / hr","Kharkiv, Ukraine","https://clutch.co/profile/codica","hello@codica.com","+380977789031"
"Devico","JavaScript Ninjas","5.0","3 reviews","https://devico.io/","""We currently have over half a million active users thanks to Devico’s team.""","20%  Web Development
20%  Mobile App Development
20%  Custom Software Development
15%  Application Testing
15%  Blockchain
10%  Other Application Development
","Undisclosed","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/devico","info@devico.io","none"
"Unicornly","Top Web Development Team from Poland","5.0","1 review","http://www.unicornly.io","“Their company is driven by business people with a global perspective.”","5%  Web Development
50%  Custom Software Development
10%  IT Strategy Consulting
10%  Other Application Development
5%  Application Management & Support
5%  Application Testing
5%  Enterprise App Modernization
5%  Mobile App Development
5%  UX/UI Design
","$5,000+","$25 - $49 / hr","Katowice, Poland","https://clutch.co/profile/unicornly","hello@unicornly.io","+48 697 602 622"
"Molaboo Development","Software development, outsourcing services","5.0","2 reviews","https://molaboo.com","""Nabus helps me make productive decisions.""","30%  Web Development
30%  Mobile App Development
10%  IT Managed Services
10%  Custom Software Development
5%  E-Commerce Development
5%  Other Application Development
5%  UX/UI Design
5%  Web Design
","Undisclosed","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/molaboo-development","contact@molaboo.com","+380445802139"
"Accesto","Broaden horizons!","4.8","10 reviews","https://accesto.com/","""We really liked their proactive approach and how they always challenge themselves to deliver a better solution.""","50%  Web Development
20%  Mobile App Development
10%  E-Commerce Development
10%  IT Strategy Consulting
10%  Custom Software Development
","Undisclosed","$25 - $49 / hr","Wrocław, Poland","https://clutch.co/profile/accesto","hello@accesto.com","+48 717 575 077"
"Iguana Studio","Web Design - Graphic & Functional Design - UX/UI","5.0","1 review","https://iguanastudio.pl/en/","""[O]ur collaboration went so smoothly that I saw no defects in their work.""","45%  Web Development
45%  Web Design
5%  UX/UI Design
5%  Custom Software Development
","$1,000+","$25 - $49 / hr","Poznań, Poland","https://clutch.co/profile/iguana-studio-poland","hello@iguanastudio.pl","+48 536 777 306"
"R&D Solutions","Build, Test, Deploy","4.5","3 reviews","https://rnd-solutions.net/","""The R&D Solutions team goes the extra mile; they truly want to deliver a successful project.""","10%  Web Development
30%  Cloud Consulting & SI
30%  Custom Software Development
10%  IT Managed Services
10%  IT Strategy Consulting
10%  Mobile App Development
","$1,000+","$25 - $49 / hr","Sofia, Bulgaria","https://clutch.co/profile/rd-solutions","contact@rnd-solutions.net","+359 24342224"
"KISS digital","We help companies reach their digital goals","5.0","6 reviews","https://kissdigital.com/?utm_source=clutch.co&utm_medium=sponsorship&utm_campaign=premium","""KISS digital’s flexibility and proactiveness stood out.""","30%  Web Development
50%  Mobile App Development
20%  UX/UI Design
","$25,000+","$25 - $49 / hr","Krakow, Poland","https://clutch.co/profile/kiss-digital","hello@kissdigital.com","+48 60 499 0190"
"Softonix","Quality code for your ideas","5.0","3 reviews","https://softonix.org/","“We have been impressed by the extra work they have done to ensure satisfaction.”","50%  Web Development
20%  Custom Software Development
10%  Mobile App Development
10%  Other Application Development
5%  UX/UI Design
5%  Web Design
","$5,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/softonix","info@softonix.org","+380689853828"
"Amoniac OU","Ruby On Rails Web Development Firm","4.9","7 reviews","https://amoniac.eu","""They understood what we wanted to do and drove the project forward without us having to micro-manage them."" ...""","80%  Web Development
10%  Application Testing
10%  Custom Software Development
","$5,000+","$25 - $49 / hr","Kyiv, Ukraine","https://clutch.co/profile/amoniac-ou","hello@amoniac.eu","+380 98 182 17 60"
"1000ideas","Creative Agency / Production & Software House","5.0","3 reviews","https://1000i.pl/en","""1000ideas provides great value compared to other providers. The price matches the worth of the final products.""","20%  Web Development
25%  Web Design
25%  Graphic Design
20%  Marketing Strategy
10%  Custom Software Development
","$5,000+","$50 - $99 / hr","Kraków, Poland","https://clutch.co/profile/1000ideas","hello@1000i.pl","+48503041000"
"Geomotiv","Custom software development company in AdTech","4.7","3 reviews","http://www.geomotiv.com","""They interact with the team and adapt to our team's culture very well.""","10%  Web Development
45%  Staff Augmentation
30%  Custom Software Development
10%  BI & Big Data Consulting & SI
5%  IT Strategy Consulting
","$10,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/geomotiv","info@geomotiv.com","+375 29 6677116"
"Startup Development House","Software House based in Europe","4.9","5 reviews","https://start-up.house/?utm_source=clutch","""Startup Development House blew us away with their designs.""","20%  Web Development
20%  Mobile App Development
20%  UX/UI Design
20%  Web Design
20%  Custom Software Development
","$10,000+","$25 - $49 / hr","Warsaw, Poland","https://clutch.co/profile/startup-development-house","office@start-up.house","+48 661 910 176"
"Devabit","Web, Mobile, IoT, AR/VR, UI/UX, QA, BPO","4.9","7 reviews","http://www.devabit.com","""We liked working with Devabit's team; they were in-sync with us and ready to provide support.""","40%  Web Development
35%  Mobile App Development
25%  IoT Development
","$10,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/devabit","info@devabit.com","none"
"InternetDevels","Drupal & WordPress","4.7","3 reviews","https://internetdevels.com/","""It is a stable environment and their firm has low employee turnover.""","70%  Web Development
15%  Custom Software Development
10%  UX/UI Design
5%  Application Testing
","Undisclosed","$25 - $49 / hr","Lutsk, Ukraine","https://clutch.co/profile/internetdevels","office@internetdevels.com","+38 050 640 98 44"
"Waynord","Digital solutions with nordic values","4.5","2 reviews","http://waynord.com/","""We appreciated their flexibility and ability to suggest alternative solutions.""","50%  Custom Software Development
30%  Mobile App Development
20%  E-Commerce Development
","$1,000+","$25 - $49 / hr","Kaunas, Lithuania","https://clutch.co/profile/waynord","t.navardauskas@waynord.com","+370 673 69466"
"ByteAnt","Trusted Technology Partner for Software Innovation","5.0","2 reviews","http://www.byteant.com/","ByteAnt is an outsourcing software development company based in Lviv, Ukraine, providing services in web develop...","20%  Web Development
20%  CRM Consulting and SI
20%  IoT Development
20%  Mobile App Development
20%  Custom Software Development
","$10,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/byteant","info@byteant.com","+38-095-361-1802"
"Qualium Systems","Quality solutions for web and desktop usage","4.9","4 reviews","https://www.qualium-systems.com/","""We’re completely satisfied because the team immediately fixes problems.""","30%  Web Development
20%  Mobile App Development
20%  Blockchain
10%  UX/UI Design
10%  AR/VR Development
10%  Artificial Intelligence
","$50,000+","$25 - $49 / hr","Kharkiv, Ukraine","https://clutch.co/profile/qualium-systems","sales@qualium-systems.com","+3 80 57 766 0 838"
"NobleSoft","We solve problems","4.8","3 reviews","http://www.noblesoft.pl/","“In addition to their team’s IT expertise, they also understand business.”","40%  Custom Software Development
20%  BI & Big Data Consulting & SI
20%  IT Managed Services
20%  Staff Augmentation
","$25,000+","$50 - $99 / hr","Poznań, Poland","https://clutch.co/profile/noblesoft","pawel.banaszkiewicz@noblesoft.pl","none"
"Kultprosvet","Web & Mobile development company","5.0","2 reviews","http://kultprosvet.net","""We’ve always understood each other, and that’s why I’ve continued to work with them for so long.""","70%  Web Development
30%  Mobile App Development
","$1,000+","$25 - $49 / hr","Dnipro, Ukraine","https://clutch.co/profile/kultprosvet","info@kultprosvet.net","+380676274300"
"Armada Labs","Custom Software Development for FinTech Industry","5.0","3 reviews","http://www.ArmadaLabs.com","“They were accessible and transparent, and it really felt like they were an extension of our company.”","70%  Custom Software Development
10%  Application Management & Support
10%  Cloud Consulting & SI
5%  IT Managed Services
5%  Mobile App Development
","$10,000+","$25 - $49 / hr","Belarus","https://clutch.co/profile/armada-labs","armada.usa@armadalabs.com","none"
"Cat In Black Software House","We make web-based apps in a fast way.","4.8","2 reviews","https://catin.black","“I like working with them very much. I can trust them and rely on them.”","20%  Web Development
25%  Custom Software Development
20%  IoT Development
20%  Web Design
15%  UX/UI Design
","$5,000+","$25 - $49 / hr","Lodz, Poland","https://clutch.co/profile/cat-in-black-software-house","agent@catin.black","+48512483112"
"3topia","if ( premiumSoftware && bestBuy ) 3topiaAgency();","4.8","4 reviews","http://3topia.agency/","3topia is a technology design and development company based out of Croatia that specializes in web, app and software development.","30%  Web Development
30%  Mobile App Development
20%  Custom Software Development
10%  UX/UI Design
10%  Artificial Intelligence
","$5,000+","$50 - $99 / hr","Zagreb, Croatia","https://clutch.co/profile/3topia","info@3topia.agency","none"
"Deerada","Custom web&mobile development, marketing services","5.0","1 review","https://www.deerada.com/","Deerada is a Ukrainian IT company...","50%  Web Development
30%  Mobile App Development
15%  Custom Software Development
5%  Application Management & Support
","$1,000+","< $25 / hr","Lviv, Ukraine","https://clutch.co/profile/deerada","contact@deerada.com","+380956371107"
"AVA.codes","User-oriented web applications","5.0","10 reviews","https://ava.codes/?utm_source=Clutch&utm_medium=click","""Working with AVA.codes was flawless from start to finish.""","100%  Web Development
","$5,000+","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/avacodes","info@ava.codes","+380965120706"
"AmiFactory","We design effective apps to evolve your business","5.0","1 review","https://amifactory.team","AmiFactory Team is a small agile team of software engineers based in Ukraine.","30%  Web Development
30%  Mobile App Development
30%  Custom Software Development
5%  IoT Development
5%  Other Application Development
","$10,000+","$25 - $49 / hr","Kyiv, Ukraine","https://clutch.co/profile/amifactory","hello@amifactory.team","none"
"SVAPS Systems","Outsource your software development","4.5","3 reviews","http://svaps.com","""SVAPS is very capable and responsive, and they do exactly as you request them to do.""","35%  Web Development
30%  Custom Software Development
15%  Application Testing
10%  Application Management & Support
10%  Mobile App Development
","Undisclosed","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/svaps-systems","sales@svaps.com","+375296559088"
"YELPIX LLC","Every Pixel is Important.","4.9","7 reviews","http://yelpix.com","""The team’s quick response times and depth of knowledge of WordPress stood out to us.""","30%  Web Development
25%  E-Commerce Development
20%  Custom Software Development
10%  UX/UI Design
10%  Web Design
5%  Logo
","$1,000+","$25 - $49 / hr","Sumy, Ukraine","https://clutch.co/profile/yelpix","info@yelpix.com","none"
"VAR Unit","Digital solutions for your business","5.0","2 reviews","https://varunit.com","Var Unit was founded in 2016 in Wrocław, Poland. We are a professional services firm delivering software and tec...","55%  Custom Software Development
30%  AR/VR Development
10%  Artificial Intelligence
5%  Business Consulting
","$5,000+","$25 - $49 / hr","Wroclaw, Poland","https://clutch.co/profile/var-unit","contact@varunit.com","none"
"Brightgrove","Dedicated teams provider","4.8","2 reviews","http://www.brightgrove.com","""In my experience, Brightgrove offered the most flexibility, and that was the game changer for us.""","60%  Staff Augmentation
20%  Custom Software Development
10%  Application Testing
10%  HR Services
","$25,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/brightgrove","info@brightgrove.com","+49 30 21788836"
"TRUI Software House","custom software; php; laravel","4.5","1 review","http://www.trui.pl/en/portfolio","TRUI Software House is located in Dopiewo, Poland. They specialize in custom software development.","20%  Web Development
40%  Custom Software Development
20%  E-Commerce Development
20%  Mobile App Development
","$1,000+","$50 - $99 / hr","Dopiewo, Poland","https://clutch.co/profile/trui-software-house","office@trui.pl","+48.798 871 677"
"itMedia","12+ years of experience in web development","5.0","2 reviews","https://www.itmedia.io/","“Despite the lack of excitement, itMedia continued to show unwavering commitment to our project.”","30%  Web Development
30%  Custom Software Development
20%  IT Strategy Consulting
20%  Mobile App Development
","$10,000+","< $25 / hr","Bijeljina, Bosnia and Herzegovina","https://clutch.co/profile/itmedia","info@itmedia.io","0038766720720"
